CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,PhoneNumber,Address
11000,MR.,JON,YANG,04/08/1966,M,M,jon24@adventure-works.com,"$90,000 ",2,Bachelors,Professional,Y,(555) 613-1875,"3952 Park Avenue, Chicago, NY 28411"
11001,MR.,EUGENE,HUANG,5/14/1965,S,M,eugene10@adventure-works.com,"$60,000 ",3,Bachelors,Professional,N,(789) 918-2794,"4737 Park Avenue, New York, CA 39280"
11002,MR.,RUBEN,TORRES,08/12/1965,M,M,ruben35@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y,(789) 893-3383,"6894 Park Avenue, Los Angeles, CA 63443"
11003,MS.,CHRISTY,ZHU,2/15/1968,S,F,christy12@adventure-works.com,"$70,000 ",0,,Professional,N,(555) 306-2962,"4443 Park Avenue, New York, IL 76271"
11004,MRS.,ELIZABETH,JOHNSON,08/08/1968,S,F,elizabeth5@adventure-works.com,"$80,000 ",5,Bachelors,Professional,Y,(123) 197-5605,"9320 Elm Street, New York, IL 90706"
11005,MR.,JULIO,RUIZ,08/05/1965,S,M,julio1@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y,(123) 162-1545,"9351 Main Street, Chicago, IL 33243"
11007,MR.,MARCO,MEHTA,05/09/1964,M,M,marco14@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y,(789) 225-9821,"3678 Main Street, Los Angeles, IL 75898"
11008,MRS.,ROBIN,VERHOFF,07/07/1964,S,F,rob4@adventure-works.com,"$60,000 ",4,Bachelors,Professional,Y,(555) 385-6680,"3505 Park Avenue, Los Angeles, CA 71190"
11009,MR.,SHANNON,CARLSON,04/01/1964,S,M,shannon38@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,(555) 502-9241,"3157 Main Street, Chicago, NY 61506"
11010,MS.,JACQUELYN,SUAREZ,02/06/1964,S,F,jacquelyn20@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,(123) 891-2546,"6665 Park Avenue, Los Angeles, CA 81699"
11011,MR.,CURTIS,LU,11/04/1963,M,M,curtis9@adventure-works.com,"$60,000 ",4,Bachelors,Professional,Y,(789) 210-9983,"9623 Main Street, Chicago, NY 54073"
11012,MRS.,LAUREN,WALKER,1/18/1968,M,F,lauren41@adventure-works.com,"$100,000 ",2,Bachelors,Management,Y,(555) 754-7243,"7951 Park Avenue, Chicago, NY 69043"
11013,MR.,IAN,JENKINS,08/06/1968,M,M,ian47@adventure-works.com,"$100,000 ",2,Bachelors,Management,Y,(789) 695-7806,"5646 Park Avenue, Chicago, NY 98549"
11014,MRS.,SYDNEY,BENNETT,05/09/1968,S,F,sydney23@adventure-works.com,"$100,000 ",3,Bachelors,Management,N,(555) 877-9383,"8075 Elm Street, Chicago, NY 57426"
11015,MS.,CHLOE,YOUNG,2/27/1979,S,F,chloe23@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,N,(555) 287-7054,"4649 Park Avenue, Chicago, CA 60612"
11016,MR.,WYATT,HILL,4/28/1979,M,M,wyatt32@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,Y,(789) 642-7863,"68 Elm Street, Chicago, NY 99923"
11017,MRS.,SHANNON,WANG,6/26/1944,S,F,shannon1@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y,(555) 340-8806,"3007 Main Street, New York, NY 39301"
11018,MR.,CLARENCE,RAI,10/09/1944,S,M,clarence32@adventure-works.com,"$30,000 ",2,,Clerical,Y,(123) 255-5935,"9266 Elm Street, Los Angeles, CA 47844"
11019,MR.,LUKE,LAL,03/07/1978,S,M,luke18@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N,(123) 842-4946,"3890 Park Avenue, New York, NY 91648"
11020,MR.,JORDAN,KING,9/20/1978,S,M,jordan73@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N,(123) 975-3957,"6739 Elm Street, Chicago, IL 70217"
11021,MS.,DESTINY,WILSON,09/03/1978,S,F,destiny7@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N,(789) 864-4227,"1924 Park Avenue, New York, NY 89224"
11022,MR.,ETHAN,ZHANG,10/12/1978,M,M,ethan20@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y,(123) 351-7511,"3812 Park Avenue, Chicago, IL 38260"
11023,MR.,SETH,EDWARDS,10/11/1978,M,M,seth46@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y,(123) 734-6585,"5337 Park Avenue, New York, IL 38311"
11024,MR.,RUSSELL,XIE,9/17/1978,M,M,russell7@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y,(123) 682-6799,"5105 Main Street, Los Angeles, NY 42500"
11025,,ALEJANDRO,BECK,12/23/1945,M,,alejandro45@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y,(789) 177-6403,"1732 Park Avenue, Los Angeles, CA 88750"
11026,MR.,HAROLD,SAI,04/03/1946,S,M,harold3@adventure-works.com,"$30,000 ",2,Partial College,Clerical,N,(789) 642-1785,"4661 Elm Street, Los Angeles, NY 49163"
11027,MR.,JESSIE,ZHAO,12/07/1946,M,M,jessie16@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y,(123) 741-5356,"7470 Elm Street, Los Angeles, IL 61163"
11028,MRS.,JILL,JIMENEZ,04/11/1946,M,F,jill13@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y,(123) 357-3418,"4990 Park Avenue, Chicago, IL 77271"
11029,MR.,JIMMY,MORENO,12/21/1946,M,M,jimmy9@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y,(555) 319-1499,"1978 Park Avenue, Los Angeles, CA 31937"
11030,MRS.,BETHANY,YUAN,2/22/1947,M,F,bethany10@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y,(123) 882-8610,"4379 Elm Street, Chicago, CA 41779"
11031,MRS.,THERESA,RAMOS,8/22/1947,M,F,theresa13@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y,(789) 564-9170,"6172 Park Avenue, New York, IL 50645"
11032,MRS.,DENISE,STONE,06/11/1947,M,F,denise10@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y,(789) 528-5351,"2646 Park Avenue, New York, IL 12221"
11033,MR.,JAIME,NATH,9/23/1947,M,M,jaime41@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y,(123) 425-3277,"814 Main Street, New York, NY 15805"
11034,MRS.,EBONY,GONZALEZ,6/19/1947,M,F,ebony19@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y,(789) 460-8941,"7118 Main Street, Chicago, CA 20303"
11035,,WENDY,DOMINGUEZ,2/24/1948,M,,wendy12@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y,(789) 511-2162,"315 Park Avenue, Los Angeles, CA 72983"
11036,MS.,JENNIFER,RUSSELL,12/18/1978,M,F,jennifer93@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y,(555) 214-2697,"6444 Park Avenue, Los Angeles, NY 93688"
11037,MS.,CHLOE,GARCIA,11/27/1977,S,F,chloe27@adventure-works.com,"$40,000 ",0,Partial High School,Clerical,N,(789) 590-2929,"3607 Main Street, New York, CA 14023"
